2 500 1000 
0 15	318 92
1 35	323 109
0 37	245 211
1 33	231 219
0 42	81 312
1 4	65 308
0 45	207 288
1 98	185 292
0 49	76 290
1 24	61 287
0 59	420 169
1 92	414 188
0 68	46 270
1 77	35 267
0 78	49 267
1 66	37 264
0 80	540 244
1 70	510 266
0 81	557 249
1 86	528 272
0 86	295 225
1 45	279 236
0 92	143 175
1 79	135 182
0 94	373 217
1 42	350 232
0 96	527 241
1 52	500 263
0 109	295.2 225.6
1 185	278.4 236.4
0 118	428.4 169.2
1 18	422 188
0 119	420 168
1 92	414 188
0 126	76.8 292.8
1 113	62.4 289.2
0 132	244.8 210
1 127	231.6 219.6
0 134	63.6 276
1 174	50.4 273.6
0 145	558 249.6
1 171	528 272.4
0 146	331.2 94.8
1 123	337.2 114
0 156	318 93.6
1 122	324 111.6
0 164	530.4 241.2
1 163	502.8 262.8
0 167	372 217.2
1 179	350.4 231.6
0 186	206.4 288
1 98	185 292
0 191	526.8 241.2
1 165	499.2 262.8
0 200	244.8 208.8
1 312	231.552 219.456
0 210	371.52 216
1 227	349.92 230.4
0 228	511.2 262.08
1 260	478.08 282.24
0 239	427.68 168.48
1 208	420.48 187.2
0 240	420.48 168.48
1 205	413.28 187.2
0 251	529.92 247.68
1 241	501.12 267.84
0 260	295.2 224.64
1 217	277.92 236.16
0 271	205.92 288
1 267	184.32 290.88
0 274	544.32 248.832
1 283	514.944 271.296
0 287	371.52 216
1 311	349.056 229.824
0 289	245.376 210.816
1 312	231.552 219.456
0 290	530.496 248.832
1 287	501.12 269.568
0 291	316.224 88.128
1 318	321.408 105.408
0 293	426.816 169.344
1 309	419.904 188.352
0 295	419.904 167.616
1 205	413.28 187.2
0 301	319.68 93.312
1 298	324.864 110.592
0 304	222.912 260.928
1 335	205.632 267.84
0 306	67.392 274.752
1 279	55.296 273.024
0 312	532.224 241.92
1 294	502.848 262.656
0 314	58.752 278.208
1 252	46.08 273.6
0 322	205.632 286.848
1 267	184.32 290.88
0 331	157.248 231.552
1 219	148.32 236.16
0 339	147.226 234.317
1 349	136.858 236.39
0 342	425.088 167.962
1 347	418.867 186.624
0 356	371.174 215.654
1 353	350.438 230.17
0 359	331.776 93.312
1 352	337.997 111.974
0 362	246.758 209.434
1 350	232.243 217.728
0 377	207.36 286.157
1 274	184.896 290.304
0 380	157.594 230.17
1 337	147.226 234.317
0 386	161.741 236.39
1 360	151.373 240.538
0 392	146.811 233.902
1 421	136.858 236.39
0 394	246.344 209.019
1 350	232.243 217.728
0 397	370.76 213.996
1 353	350.438 230.17
0 409	154.276 228.925
1 429	144.323 233.902
0 427	296.11 223.949
1 415	281.18 236.39
0 430	206.531 286.157
1 374	186.624 290.304
0 435	391.164 358.318
1 462	349.36 367.276
0 445	382.206 352.346
1 451	343.388 364.29
0 454	370.262 214.991
1 443	346.374 226.935
0 455	247.837 209.019
1 464	232.907 217.977
0 460	223.949 185.131
1 457	217.977 194.089
0 466	298.598 226.935
1 450	280.683 235.893
0 469	397.733 354.735
1 494	354.735 365.485
0 471	386.984 354.735
1 451	343.388 364.29
0 472	247.24 207.825
1 484	232.907 214.991
0 474	369.068 211.408
1 483	347.569 225.74
0 476	297.404 225.74
1 482	283.071 236.49
0 480	161.243 236.49
1 479	150.494 243.656
0 482	383.4 326.07
1 470	347.569 336.819
0 489	290.238 240.073
1 476	272.322 250.823
0 493	207.825 286.655
1 469	186.325 290.238
0 496	351.152 229.324
1 495	333.236 240.073
